date	fed-o	fed	type	level	status	comment
1615216484	0	0	5	9	0	Federate "GEM5_NODE1" joins Federation "GLOBAL_SYNCHRONIZATION"(16) with handle 3. Socket 14 - OK
1615216484	16	3	35	7	0	Publish Interaction Class = 3 - OK
1615216484	16	3	39	7	0	Subscribe Interaction Class = 4 - OK
1615216484	16	3	9	8	0	ON at time 0.000000 - OK
1615216484	16	3	8	8	0	ON at time 1.000000 - OK
1615216484	22	1	12	8	0	Label "Init" registered. Tag is "Waiting all federations." - OK
1615216484	22	1	39	7	0	Subscribe Interaction Class = 3 - OK
1615216484	22	1	35	7	0	Publish Interaction Class = 4 - OK
1615216484	0	0	3	10	36	Federation Name : COSSIM_PROC_NET_NODE2, Handle : 24COSSIM_PROC_NET_NODE2 - Exception
1615216484	0	0	5	9	0	Federate "GEM5" joins Federation "COSSIM_PROC_NET_NODE2"(22) with handle 2. Socket 8 - OK
1615216484	22	2	35	7	0	Publish Interaction Class = 3 - OK
1615216484	22	2	39	7	0	Subscribe Interaction Class = 4 - OK
1615216484	16	3	15	8	0	Label "Init" ended - OK
1615216484	22	2	15	8	0	Label "Init" ended - OK
1615216484	22	1	15	8	0	Label "Init" ended - OK
1615216485	0	0	3	9	0	Federation Name : COSSIM_PROC_NET_NODE3, Handle : 25 created - OK
1615216485	0	0	5	9	0	Federate "OMNET" joins Federation "COSSIM_PROC_NET_NODE3"(25) with handle 1. Socket 16 - OK
1615216485	25	1	12	8	0	Label "Init" registered. Tag is "Waiting all federations." - OK
1615216485	25	1	39	7	0	Subscribe Interaction Class = 3 - OK
1615216485	25	1	35	7	0	Publish Interaction Class = 4 - OK
1615216485	0	0	3	10	36	Federation Name : COSSIM_PROC_NET_NODE3, Handle : 26COSSIM_PROC_NET_NODE3 - Exception
1615216485	0	0	5	9	0	Federate "GEM5" joins Federation "COSSIM_PROC_NET_NODE3"(25) with handle 2. Socket 9 - OK
1615216485	0	0	3	10	36	Federation Name : GLOBAL_SYNCHRONIZATION, Handle : 27GLOBAL_SYNCHRONIZATION - Exception
1615216485	0	0	5	9	0	Federate "GEM5_NODE2" joins Federation "GLOBAL_SYNCHRONIZATION"(16) with handle 4. Socket 17 - OK
1615216485	25	2	35	7	0	Publish Interaction Class = 3 - OK
1615216485	16	4	35	7	0	Publish Interaction Class = 3 - OK
1615216485	16	4	39	7	0	Subscribe Interaction Class = 4 - OK
1615216485	25	2	39	7	0	Subscribe Interaction Class = 4 - OK
1615216485	16	4	9	8	0	ON at time 0.000000 - OK
1615216485	16	4	8	8	0	ON at time 1.000000 - OK
1615216485	25	2	15	8	0	Label "Init" ended - OK
1615216485	25	1	15	8	0	Label "Init" ended - OK
1615216485	16	4	15	8	0	Label "Init" ended - OK
1615216485	0	0	3	10	36	Federation Name : GLOBAL_SYNCHRONIZATION, Handle : 28GLOBAL_SYNCHRONIZATION - Exception
1615216485	0	0	5	9	0	Federate "GEM5_NODE3" joins Federation "GLOBAL_SYNCHRONIZATION"(16) with handle 5. Socket 18 - OK
1615216485	16	5	35	7	0	Publish Interaction Class = 3 - OK
1615216485	16	5	39	7	0	Subscribe Interaction Class = 4 - OK
1615216485	16	5	9	8	0	ON at time 0.000000 - OK
1615216485	16	5	8	8	0	ON at time 1.000000 - OK
1615216486	16	5	15	8	0	Label "Init" ended - OK
1615216486	16	1	15	8	0	Label "Init" ended - OK
1615216486	0	0	3	9	0	Federation Name : Node0, Handle : 29 created - OK
1615216486	0	0	5	9	0	Federate "GEM5_CREATOR_FEDERATE" joins Federation "Node0"(29) with handle 1. Socket 19 - OK
1615216486	29	1	12	8	0	Label "Init" registered. Tag is "Waiting all players." - OK
1615216486	29	1	33	7	0	Publish Object Class = 4, # of att. = 5 - OK
1615216486	29	1	37	7	0	Subscribe Object Class = 3, # of att. = 4 - OK
1615216486	29	1	9	8	0	ON at time 0.000000 - OK
1615216486	29	1	8	8	0	ON at time 1.000000 - OK
1615216496	0	0	3	10	36	Federation Name : Node0, Handle : 30Node0 - Exception
1615216496	0	0	5	9	0	Federate "Display" joins Federation "Node0"(29) with handle 2. Socket 20 - OK
1615216496	29	2	33	7	0	Publish Object Class = 3, # of att. = 1 - OK
1615216496	29	2	43	6	0	Register Object Class = 3 - OK
1615216496	29	2	37	7	0	Subscribe Object Class = 4, # of att. = 2 - OK
